
lsd 0.20.1-1
lsof 4.94.0-1
lsscsi 0.32-1
lua52 5.2.4-5
luajit 2.0.5-3
lv2 1.18.2-1
lvm2 2.03.14-1
lxappearance-gtk3 0.6.3-4
lxsession-gtk3 1:0.5.5-1
lz4 1:1.9.3-2
lzo 2.10-3
lzop 1.04-3
m4 1.4.19-1
make 4.3-3
man-db 2.9.4-2
man-pages 5.13-1
mariadb 10.6.4-1
mariadb-clients 10.6.4-1
mariadb-libs 10.6.4-1
mbedtls 2.27.0-1
mc 4.8.27-1
md4c 0.4.8-1
mdadm 4.1-2
mdp 1.0.15-2
mediainfo-gui 21.03-1
memtest86+ 5.31b-1
mesa 21.2.4-1
meson 0.60.1-1
metasploit-git 1:6.1.14.62551.0edfe45003-1
metis 5.1.0.p10-2
mjpegtools 2.2.1-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20210805-1
modemmanager 1.18.2-1
mojave-gtk-theme-git r438.6c5e2a4-1
mpd 0.23.3-1
mpfr 4.1.0.p13-1
mpg123 1.29.2-1
mpv 1:0.34.0-2
mtdev 1.1.6-1
mtools 1:4.0.35-1
mugshot 0.4.3-1
mujs 1.1.3-1
mypaint-brushes1 1.3.1-1
nano 5.9-1
nasm 2.15.05-1
nbd 3.21-2
ncurses 6.2-2
ndctl 71.1-1
ndisc6 1.0.4-2
neofetch 7.1.0-2
neon 0.32.1-1
nerd-fonts-ubuntu-mono 2.1.0-2
net-snmp 5.9.1-1
net-tools 2.10-1
netctl 1.26-1
netpbm 10.73.36-1
nettle 3.7.3-1
network-manager-applet 1.24.0-1
networkmanager 1.32.12-1
networkmanager-openvpn 1.8.16-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-4
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.4-1
nfsidmap 2.5.4-1
ngrok 2.3.40-1
nilfs-utils 2.2.8-2
ninja 1.10.2-1
nm-connection-editor 1.24.0-1
no-more-secrets 1.0.1-1
node-gyp 8.2.0-1
nodejs 17.1.0-1
nodejs-nopt 5.0.0-2
noto-fonts 20201226-2
noto-fonts-emoji 20211101-1
noto-fonts-extra 20201226-2
npm 8.1.3-1
npth 1.6-3
nspr 4.32-1
nss 3.72-1
nss-mdns 0.15.1-1
ntfs-3g 2021.8.22-1
ntp 4.2.8.p15-1
numlockx 1.2-5
nvim-yarp-git r51.b710bf4-1
nvme-cli 1.15-1
oath-toolkit 2.6.7-1
obs-studio 27.1.3-1
ocl-icd 2.3.1-1
ocs-url 3.1.0-7
oh-my-zsh-git r6250.0520c2e30-1
oh-my-zsh-powerline-theme-git r81.56021ec-1
oniguruma 6.9.7.1-1
openal 1.21.1-1
opencl-mesa 21.2.5-1
opencore-amr 0.1.5-5
openexr 3.1.3-1
openjpeg2 2.4.0-1
openmpi 4.1.1-3
openresolv 3.12.0-1
openssh 8.8p1-1
openssl 1.1.1.l-1
openssl-1.0 1.0.2.u-1
openvpn 2.5.4-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.79-1
p11-kit 0.24.0-2
packagekit 1.2.4-1
packagekit-qt5 1.0.2-1
pacman 6.0.1-2
pacman-contrib 1.4.0-4
pacman-mirrorlist 20210822-1
pahole 1.22-1
pam 1.5.2-1
pambase 20210605-2
pango 1:1.48.10-1
pangomm 2.46.1-2
partclone 0.3.18-1
parted 3.4-2
